name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Doon Darbar,Paltan Bazaar,"North Indian, Mughlai",500,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",4.3,Very Good,1364,Casual Dining
Gaylord Xpress,Paltan Bazaar,Fast Food,200,"Cash, Lunch, No Alcohol Available, Credit Card, Dinner, Takeaway Available, Indoor Seating",3.8,Good,767,Quick Bites
Uss Da Dhaba,Race Course,North Indian,350,"Lunch, Cash, No Alcohol Available, Dinner, Delivery, Breakfast, Indoor Seating, Pure Veg",4.2,Very Good,719,Dhaba
Dominos Pizza,Rajpur,"Pizza, Fast Food",400,"No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Free Parking, Indoor Seating, Air Conditioned",3.9,Good,488,Quick Bites
Mannu Fast Food,Raipur,"Fast Food, North Indian, Chinese",250,"Dinner, Cash, Delivery, Lunch, Takeaway Available, Outdoor Seating",4.6,Excellent,558,Quick Bites
Chicago BR,Karanpur,"Rolls, Momos, North Indian, Fast Food, Pizza, Desserts",500,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating, Digital Payments Accepted",4.1,Very Good,364,Quick Bites
Burger King,"Pacific Mall, Jakhan","Burger, Fast Food, Beverages",500,"Debit Card, Takeaway Available, Cash, Lunch, Mall Parking, No Alcohol Available, Credit Card, Dinner, Digital Payments Accepted, Indoor Seating, Air Conditioned, Axis Bank - Dining Delights",4.2,Very Good,380,Quick Bites
Anandam,Hathibarkala Salwala,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,"Credit Card, Dinner, Cash, Lunch, Breakfast, Debit Card, Pure Veg, Air Conditioned, Indoor Seating",4.3,Very Good,426,Casual Dining
Kalsang AMA Cafe,Hathibarkala Salwala,Cafe,750,"No Alcohol Available, Dinner, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Desserts and Bakes, Outdoor Seating, Air Conditioned, Wifi, Indoor Seating, Free Wifi",4.8,Excellent,915,Cafe
Dominos Pizza,Majra,"Pizza, Fast Food",400,"Lunch, Delivery, Debit Card, No Alcohol Available, Dinner, Cash, Credit Card, Indoor Seating, Air Conditioned",3.9,Good,377,Quick Bites
